year,section,field,label,raw_preview
2024-2025,A,A1,Address Information,"A1 Address Information Name of College/University: Washington University in St. Louis Mailing Address: 1 Brookings Drive City/State/Zip/Country: St. Louis, MO 63130-4899 Street Address (if different): City/State/Zip/Country: Main Phone Number: (314) 935-5000 WWW Home Page Address: https://washu.edu "
2024-2025,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): Public X Private (nonprofit) Proprietary
2024-2025,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: X Coeducational college Men's college Women's college
2024-2025,A,A4,Academic year calendar:,A4 Academic year calendar: X Semester Quarter Trimester 4-1-4 Continuous Differs by program (describe): Other (describe):
2024-2025,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: X Certificate Diploma X Associate Transfer Associate Terminal Associate X Bachelor's X Postbachelor's certificate X Master's Post-master's certificate X Doctoral degree research/scholarship X Doctoral degree – professional practice Doctoral degree -- other A5 
2024-2025,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://equity.washu.edu Washington University in St. Louis"
2024-2025,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 15, 2024. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2024-2025,B,B2,Enrollment by Racial/Ethnic Category,"B2 Enrollment by Racial/Ethnic Category Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2024. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergrad"
2024-2025,B,B3,Persistence,"B3 Persistence Number of degrees awarded by your institution from July 1, 2023 to June 30, 2024. Certificate/diploma 27 Associate degrees 34 Bachelor's degrees 1,994 Postbachelor's certificates 174 Master's degrees 2,548 Post-Master's certificates 0 Doctoral degrees – research/scholarship 365 Doctor"
2024-2025,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2024-2025 Survey: http"
