year,section,field,label,raw_preview
2022-2023,A,A0,Respondent Information (Not for Publication),"A0 Respondent Information (Not for Publication) Name: Matthew Gueguen Title: Analysis and Planning Consultant Office: OPAIR Mailing Address: 203 Rider Building City/State/Zip/Country: University Park, PA 16802 Phone: 814-863-8721 Fax: E-mail Address: mpg5717@psu.edu Are your responses to the CDS pos"
2022-2023,A,A0A,We invite you to indicate if there are items on the CDS for which you cannot use the requested,"A0A We invite you to indicate if there are items on the CDS for which you cannot use the requested analytic convention, cannot provide data for the cohort requested, whose methodology is unclear, or about which you have questions or comments in general. This information will not be published but wil"
2022-2023,A,A1,Address Information,"A1 Address Information Name of College/University: Penn State University Park Mailing Address: 201 Old Main City/State/Zip/Country: University Park, PA 16802-1503 Street Address (if different): City/State/Zip/Country: Main Phone Number: (814) 865-4700 WWW Home Page Address: http://www.psu.edu Admiss"
2022-2023,A,A2,Source of institutional control (Check only one):,A2 Source of institutional control (Check only one): X Public Private (nonprofit) Proprietary Page 1 CDS_2022-2023_University Park_Form
2022-2023,A,A3,Classify your undergraduate institution:,A3 Classify your undergraduate institution: X Coeducational college Men's college Women's college
2022-2023,A,A4,Academic year calendar:,"A4 Academic year calendar: X Semester If your academic year has changed because Quarter of the COVID-19 pandemic, please indicate Trimester as other below. 4-1-4 Continuous Differs by program (describe): Other (describe):"
2022-2023,A,A5,Degrees offered by your institution:,A5 Degrees offered by your institution: X Certificate Diploma X Associate Transfer Associate Terminal Associate X Bachelor's X Postbachelor's certificate X Master's Post-master's certificate X Doctoral degree research/scholarship X Doctoral degree – professional practice Doctoral degree -- other A5 
2022-2023,A,A6,"Diversity, Equity, and Inclusion","A6 Diversity, Equity, and Inclusion If you have a diversity, equity, and inclusion office or department, please provide the URL of the corresponding Web page: https://www.psu.edu/this-is-penn-state/equity-and-inclusion/ Page 2 CDS_2022-2023_University Park_Form"
2022-2023,B,B1,Institutional Enrollment - Men and Women,"B1 Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution's official fall reporting date or as of October 19, 2022. • Note: Report students formerly designated as “first professional” in the graduate cells. • For information on"
2022-2023,B,B2,Enrollment by Racial/Ethnic Category.,"B2 Enrollment by Racial/Ethnic Category. Provide numbers of undergraduate students for each of the following categories as of the institution’s official fall reporting date or as of October 19, 2022. • Include international students only in the category ""Nonresidents."" • Complete the “Total Undergra"
2022-2023,B,B3,"Number of degrees awarded by your institution from July 1, 2021, to June 30, 2022.","B3 Number of degrees awarded by your institution from July 1, 2021, to June 30, 2022. Certificate/diploma 776 Associate degrees 4 Bachelor's degrees 10293 Postbachelor's certificates 48 Master's degrees 1529 Post-Master's certificates 0 Doctoral degrees – 669 Doctoral degrees – professional practice"
2022-2023,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). • For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2022-2023 Survey. http"
2022-2023,B,B12,"Initial cohort, total of first-time, full-time degree/certificate-seeking students:","B12 Initial cohort, total of first-time, full-time degree/certificate-seeking students:"
2022-2023,B,B13,"Of the initial cohort, how many did not persist and did not graduate for the following reasons:","B13 Of the initial cohort, how many did not persist and did not graduate for the following reasons: • Death • Permanently Disability • Service in the armed forces, • Foreign aid service of the federal government • Official church missions • Report total allowable exclusions"
2022-2023,B,B14,"Final cohort, after adjusting for allowable exclusions:                                                    0            0","B14 Final cohort, after adjusting for allowable exclusions: 0 0"
2022-2023,B,B15,Completers of programs of less than two years duration (total):,B15 Completers of programs of less than two years duration (total):
2022-2023,B,B16,Completers of programs of less than two years within 150 percent of normal time:,B16 Completers of programs of less than two years within 150 percent of normal time:
2022-2023,B,B17,Completers of programs of at least two but less than four years (total):,B17 Completers of programs of at least two but less than four years (total):
2022-2023,B,B18,Completers of programs of at least two but less than four-years within 150 percent of normal,B18 Completers of programs of at least two but less than four-years within 150 percent of normal time:
2022-2023,B,B19,Total transfers-out (within three years) to other institutions:,B19 Total transfers-out (within three years) to other institutions:
2022-2023,B,B20,Total transfers to two-year institutions:,B20 Total transfers to two-year institutions:
2022-2023,B,B21,Total transfers to four-year institutions:,B21 Total transfers to four-year institutions:
2022-2023,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2021 (or the preceding summer term). • The initial cohort may be adjusted for students who departed for the following reasons: * Death * Perman"
2022-2023,C,C1,-C2: Applications,"C1-C2: Applications First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, C1 were admitted, and enrolled (full- or part-time) in Fall 2022. • Include early decision, early action, and students who began studies during summer in this cohor"
2022-2023,C,C2,"First-time, first-year wait-listed students","C2 First-time, first-year wait-listed students Students who met admission requirements but whose final admission was contingent on space availability Yes No X Do you have a policy of placing students on a waiting list? If yes, please answer the questions below for Fall 2022 admissions: WAITING LIST "
2022-2023,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3 High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: × High school diploma is required and GED is accepted High school diploma is required and GED is not accepted High s
2022-2023,C,C4,Does your institution require or recommend a general college-preparatory program for degree-seeking,C4 Does your institution require or recommend a general college-preparatory program for degree-seeking students? Require × Recommend Neither require nor recommend Page 9 CDS_2022-2023_University Park_Form
2022-2023,C,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic high,C5 Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different system
2022-2023,C,C6,C6-C7: Basis for Selection,"C6 C6-C7: Basis for Selection Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: Open admission policy a"
2022-2023,C,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time, first-year,","C7 Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking general (not including programs with specific criteria) admissions decisions. Very Important Important Considered Not Considered Academic Rigor of secondary school record ×"
