year,section,field,label,raw_preview
2025-2026,A,A1,. Address Information,A1. Address Information Name of College or University: Yale University Street Address: City: New Haven State: CT Zip: 06520 Country: USA Main Institution Phone Number: (203) 432-4771 Main Institution Website: http://www.yale.edu Main Institution Email: Please enter Admissions Office information belo
2025-2026,A,A2,. Source of institutional control (check one only):,A2. Source of institutional control (check one only): ☐ Public ☒ Private (nonprofit) 1 ☐ Proprietary
2025-2026,A,A3,. Classify your undergraduate institution:,A3. Classify your undergraduate institution: ☒ Coeducational college ☐ Men’s college ☐ Women’s college
2025-2026,A,A4,. Academic year calendar,"A4. Academic year calendar If your academic year has changed because of the COVID-19 pandemic, please indicate as other below. ☒ Semester ☐ 4-1-4 ☐ Quarter ☐ Continuous ☐ Trimester ☐ Differs by program (describe): ☐ Other (describe):"
2025-2026,A,A5,. Degrees offered by your institution,A5. Degrees offered by your institution ☒ Certificate ☒ Post-bachelor’s certificate ☒ Diploma ☒ Master’s ☐ Associate ☒ Post-master’s certificate ☐ Transfer Associate ☒ Doctoral degree research/scholarship ☐ Terminal Associate ☒ Doctoral degree – professional practice ☒ Bachelor’s ☒ Doctoral degree –
2025-2026,A,A6,. Campus Belonging Webpage,"A6. Campus Belonging Webpage If your institution has an office or department dedicated to fostering a welcoming and supportive campus climate for individuals from all backgrounds, please provide the URL of the corresponding Web page: https://belong.yale.edu/"
2025-2026,B,B1,. Institutional Enrollment - Men and Women,"B1. Institutional Enrollment - Men and Women Provide numbers of students for each of the following categories as of the institution’s official fall reporting date or as of October 15, 2025 ✓ Note: Report students formerly designated as “first professional” in the graduate cells. ✓ For information on"
2025-2026,B,B3,. Persistence,"B3. Persistence Number of degrees awarded by your institution from July 1, 2024, to June 30, 2025. AWARD TYPE NO. OF AWARDS Certificate/diploma 0 Associate degrees 0 Bachelor’s degrees 1860 Post-bachelor’s certificates 71 Master’s degrees 2867 Post-master’s certificates 13 Doctoral degrees - researc"
2025-2026,B,B4,-B21: Graduation Rates,"B4-B21: Graduation Rates The items in this section correspond to data elements collected by the IPEDS Web-based Data Collection System’s Graduation Rate Survey (GRS). ✓ For complete instructions and definitions of data elements, see the IPEDS GRS Forms and Instructions for the 2025- 2026 Survey. htt"
2025-2026,B,B22,. Retention Rates,"B22. Retention Rates Report for the cohort of all full-time, first-time bachelor’s (or equivalent) degree-seeking undergraduate students who entered in Fall 2024 (or the preceding summer term). ✓ The initial cohort may be adjusted for students who departed for the following reasons: • Death • Perman"
2025-2026,C,C1,-C2: Applications,"C1-C2: Applications C1. First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who applied, were admitted, and enrolled (full- or part-time) in Fall 2025. ✓ Include early decision, early action, and students who began studies during summer in this coho"
2025-2026,C,C2,". First-time, first-year wait-listed students","C2. First-time, first-year wait-listed students ✓ Students who met admission requirements but whose final admission was contingent on space availability) Do you have a policy of placing students on a waiting list? ☒ Yes ☐ No If yes, please answer the questions below for Fall2025 admissions: WAITING "
2025-2026,C,C3,-C5: Admission Requirements,C3-C5: Admission Requirements C3. High school completion requirement Check the appropriate box to identify your high school completion requirement for degree-seeking entering students: ☒ High school diploma is required and GED is accepted ☐ High school diploma is required and GED is not accepted ☐ H
2025-2026,C,C4,. Does your institution require or recommend a general college-preparatory program for degree-seeking students?,C4. Does your institution require or recommend a general college-preparatory program for degree-seeking students? ☐ Require ☒ Recommend 9 ☐ Neither require nor recommend
2025-2026,C,C5,. Distribution of high school units required and/or recommended. Specify the distribution of academic high school,C5. Distribution of high school units required and/or recommended. Specify the distribution of academic high school course units required and/or recommended of all or most degree-seeking students using Carnegie units (one unit equals one year of study or its equivalent). If you use a different syste
2025-2026,C,C6,-C7: Basis for Selection,"C6-C7: Basis for Selection C6. Do you have an open admission policy, under which virtually all secondary school graduates or students with GED equivalency diplomas are admitted without regard to academic record, test scores, or other qualifications? If so, check which applies: ☐ Open admission polic"
2025-2026,C,C7,". Relative importance of each of the following academic and nonacademic factors in your first-time, first-year,","C7. Relative importance of each of the following academic and nonacademic factors in your first-time, first-year, degree-seeking general (not including programs with specific criteria) admission decisions. Very Important Important Considered Not Considered Academic – – – – Rigor of secondary school "
2025-2026,C,C8,: SAT and ACT Policies,"C8: SAT and ACT Policies Entrance exams Does your institution make use of SAT, ACT, or SAT Subject Test scores in admission decisions for first-time, first-year, degree-seeking applicants: ☒ Yes ☐ No If yes, place check marks in the appropriate boxes below to reflect your institution’s policies for "
2025-2026,C,C8B,. Has been removed from the CDS.,C8B. Has been removed from the CDS.
2025-2026,C,C8C,. Has been removed from the CDS.,C8C. Has been removed from the CDS.
2025-2026,C,C8D,". In addition, does your institution use applicants’ test scores for academic advising?","C8D. In addition, does your institution use applicants’ test scores for academic advising? ☒ Yes ☐ No"
2025-2026,C,C8E,. Latest date by which SAT or ACT scores must be received for fall-term admission:,C8E. Latest date by which SAT or ACT scores must be received for fall-term admission: 11 • Single-choice Early Action - November 20 for SAT and ACT; Regular Decision - March 15 for SAT and ACT Latest date by which SAT Subject Test scores must be received for fall-term admission: • N/A
2025-2026,C,C8F,". If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are","C8F. If necessary, use this space to clarify your test policies (e.g., if tests are recommended for some students, or if tests are not required of some students due to differences by academic program, student academic background, or if other examinations may be considered in lieu of the SAT and ACT."
2025-2026,C,C8G,". Please indicate which tests your institution uses for placement (e.g., state tests):","C8G. Please indicate which tests your institution uses for placement (e.g., state tests): ☐ SAT ☐ ACT ☒ AP ☐ CLEP ☒ Institutional Exam ☐ State Exam (specify):"
2025-2026,C,C9,"-C12: First-time, first-year Profile","C9-C12: First-time, first-year Profile Provide information for ALL enrolled, degree-seeking, full-time and part-time, first-time, first-year students enrolled in Fall 2025, including students who began studies during summer, international students/nonresidents, and students admitted under special ar"
2025-2026,C,C10,". Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the","C10. Percent of all degree-seeking, first-time, first-year students who had high school class rank within each of the following ranges (report information for those students from whom you collected high school rank information) Assessment Percent Percent in top tenth of high school graduating class "
2025-2026,C,C11,". Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point","C11. Percentage of all enrolled, degree-seeking, first-time, first-year students who had high school grade-point averages within each of the following ranges (using 4.0 scale). • Report information only for those students from whom you collected high school GPA. Score Range Percent Percent who had G"
2025-2026,C,C12,". Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA:","C12. Average high school GPA of all degree-seeking, first-time, first-year students who submitted GPA: Pct Average High School GPA Percent of total first-time, first-year students who submitted high school GPA: Pct Percent Submitting GPA 0.0%"
2025-2026,C,C13,-C20: Admission Policies,C13-C20: Admission Policies C13. Application fee • If your institution has waived its application fee for the Fall 2025 admission cycle please select no. Does your institution have an application fee? ☒ Yes ☐ No 14 Amount of application fee: $80 Can it be waived for applicants with financial need? ☒
2025-2026,C,C14,. Application closing date,C14. Application closing date Does your institution have an application closing date? ☒ Yes ☐ No Date Application closing date (fall) 1/2 Priority Date
2025-2026,C,C15,". Are first-time, first-year students accepted for terms other than the fall? ☐ Yes ☒ No","C15. Are first-time, first-year students accepted for terms other than the fall? ☐ Yes ☒ No"
2025-2026,C,C16,. Notification to applicants of admission decision sent (fill in one only),C16. Notification to applicants of admission decision sent (fill in one only) ☐ On a rolling basis beginning (date): ☒ By (date): Apr 1 ☐ Other:
2025-2026,C,C17,. Reply policy for admitted applicants (fill in one only),"C17. Reply policy for admitted applicants (fill in one only) ☒ Must reply by (date): May 1 ☐ No set date ☐ Must reply by May 1st or within weeks if notified thereafter ☐ Other: Deadline for housing deposit (MMDD): Amount of housing deposit: Refundable if student does not enroll? ☐ Yes, in full ☐ Yes"
2025-2026,C,C18,. Deferred admission: Does your institution allow students to postpone enrollment after admission?,"C18. Deferred admission: Does your institution allow students to postpone enrollment after admission? ☒ Yes ☐ No If yes, maximum period of postponement: 1 YEAR 15 C19. Early admission of high school students: Does your institution allow high school students to enroll as full-time, first- time, first"
2025-2026,C,C20,. Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle),C20. Common Application: Question removed from CDS. (Initiated during 2006-2007 cycle)
